,year,date,title,author,bibcode,pub
0,2020,2020-06-01 00:00:00+00:00,TESS photometry of extreme helium stars PV Tel and V821 Cen,"Jeffery, C",2020arXiv200600946J,arXiv e-prints
1,2020,2020-06-01 00:00:00+00:00,The one that got away: A unique eclipse in the young brown dwarf Roque 12,"Scholz, A",2020arXiv200603582S,arXiv e-prints
2,2020,2020-06-01 00:00:00+00:00,A search for young exoplanets in Sectors 1-5 of the TESS Full-Frame-Images,"Battley, M",2020arXiv200601721B,arXiv e-prints
3,2020,2020-06-01 00:00:00+00:00,TOI-1338: TESS' First Transiting Circumbinary Planet,"Kostov, V",2020AJ....159..253K,The Astronomical Journal
4,2020,2020-05-01 00:00:00+00:00,K2 Ultracool Dwarfs Survey - VI. White light superflares observed on an L5 dwarf and flare rates of L dwarfs,"Paudel, R",2020MNRAS.494.5751P,Monthly Notices of the Royal Astronomical Society
5,2020,2020-05-01 00:00:00+00:00,Flare Statistics for Young Stars from a Convolutional Neural Network Analysis of $\textit{TESS}$ Data,"Feinstein, A",2020arXiv200507710F,arXiv e-prints
6,2020,2020-05-01 00:00:00+00:00,"PTFO 8-8695: Two Stars, Two Signals, No Planet","Bouma, L",2020arXiv200510253B,arXiv e-prints
7,2020,2020-05-01 00:00:00+00:00,Optical Variability of the Dwarf AGN NGC 4395 from the Transiting Exoplanet Survey Satellite,"Burke, C",2020arXiv200504491B,arXiv e-prints
8,2020,2020-05-01 00:00:00+00:00,A new study of the spectroscopic binary 7 Vul with a Be star primary,"Harmanec, P",2020arXiv200511089H,arXiv e-prints
9,2020,2020-05-01 00:00:00+00:00,Persistent starspot signals on M dwarfs: multi-wavelength Doppler observations with the Habitable-zone Planet Finder and Keck/HIRES,"Robertson, P",2020arXiv200509657R,arXiv e-prints
10,2020,2020-05-01 00:00:00+00:00,A Possible Transit of a Disintegrating Exoplanet in the Nearby Multiplanet System DMPP-1,"Jones, M",2020ApJ...895L..17J,The Astrophysical Journal
11,2020,2020-05-01 00:00:00+00:00,Rotation-activity relations and flares of M dwarfs with K2 long- and short-cadence data,"Raetz, S",2020A&A...637A..22R,Astronomy and Astrophysics
12,2020,2020-05-01 00:00:00+00:00,10 Years of Stellar Activity for GJ 1243,"Davenport, J",2020arXiv200510281D,arXiv e-prints
13,2020,2020-05-01 00:00:00+00:00,"The correlation between photometric variability and radial velocity jitter, based on TESS and HARPS observations","Hojjatpanah, S",2020arXiv200510105H,arXiv e-prints
14,2020,2020-05-01 00:00:00+00:00,An Unusual Transmission Spectrum for the Sub-Saturn KELT-11b Suggestive of a Sub-Solar Water Abundance,"Colon, K",2020arXiv200505153C,arXiv e-prints
15,2020,2020-05-01 00:00:00+00:00,The TESS-Keck Survey. I. A Warm Sub-Saturn-mass Planet and a Caution about Stray Light in TESS Cameras,"Dalba, P",2020AJ....159..241D,The Astronomical Journal
16,2020,2020-05-01 00:00:00+00:00,Forward Modeling the Orbits of Companions to Pulsating Stars from Their Light Travel Time Variations,"Hey, D",2020AJ....159..202H,The Astronomical Journal
17,2020,2020-05-01 00:00:00+00:00,Optical phase curve of the ultra-hot Jupiter WASP-121b,"Bourrier, V",2020A&A...637A..36B,Astronomy and Astrophysics
18,2020,2020-04-01 00:00:00+00:00,"HATS-47b, HATS-48Ab, HATS-49b, and HATS-72b: Four Warm Giant Planets Transiting K Dwarfs","Hartman, J",2020AJ....159..173H,The Astronomical Journal
19,2020,2020-04-01 00:00:00+00:00,The ancient main-sequence solar proxy HIP 102152 unveils the activity and rotational fate of our Sun,"Lorenzo-Oliveira, D",2020MNRAS.495L..61L,Monthly Notices of the Royal Astronomical Society
20,2020,2020-04-01 00:00:00+00:00,The closest extremely low-mass white dwarf to the Sun,"Kawka, A",2020MNRAS.495L.129K,Monthly Notices of the Royal Astronomical Society
21,2020,2020-04-01 00:00:00+00:00,Obliquity Constraints on an Extrasolar Planetary-mass Companion,"Bryan, M",2020AJ....159..181B,The Astronomical Journal
22,2020,2020-04-01 00:00:00+00:00,Properties of CVSO 30 from TESS measurements: probably a binary T Tauri star with complex light curves and no obvious planets,"Koen, C",2020MNRAS.494.4349K,Monthly Notices of the Royal Astronomical Society
23,2020,2020-04-01 00:00:00+00:00,LHS 1815b: The First Thick-disk Planet Detected by TESS,"Gan, T",2020AJ....159..160G,The Astronomical Journal
24,2020,2020-04-01 00:00:00+00:00,"Detection of Na, K, and H<SUB>2</SUB>O in the hazy atmosphere of WASP-6b","Carter, A",2020MNRAS.494.5449C,Monthly Notices of the Royal Astronomical Society
25,2020,2020-04-01 00:00:00+00:00,A Relationship between Stellar Age and Spot Coverage,"Morris, B",2020ApJ...893...67M,The Astrophysical Journal
26,2020,2020-04-01 00:00:00+00:00,Variable Accretion onto Protoplanet Host Star PDS 70,"Thanathibodee, T",2020ApJ...892...81T,The Astrophysical Journal
27,2020,2020-04-01 00:00:00+00:00,"TESS discovery of a super-Earth and three sub-Neptunes hosted by the bright, Sun-like star HD 108236","Daylan, T",2020arXiv200411314D,arXiv e-prints
28,2020,2020-04-01 00:00:00+00:00,Short-cadence K2 observations of an accretion-state transition in the polar Tau 4,"Littlefield, C",2020arXiv200408923L,arXiv e-prints
29,2020,2020-04-01 00:00:00+00:00,Precise mass and radius of a transiting super-Earth planet orbiting the M dwarf TOI-1235: a planet in the radius gap?,"Bluhm, P",2020arXiv200406218B,arXiv e-prints
30,2020,2020-03-01 00:00:00+00:00,Constraining Orbital Periods from Nonconsecutive Observations: Period Estimates for Long-period Planets in Six Systems Observed by K2 During Multiple Campaigns,"Dholakia, S",2020AJ....159...93D,The Astronomical Journal
31,2020,2020-03-01 00:00:00+00:00,Decoding the radial velocity variations of HD 41248 with ESPRESSO,"Faria, J",2020A&A...635A..13F,Astronomy and Astrophysics
32,2020,2020-03-01 00:00:00+00:00,A high-precision abundance analysis of the nuclear benchmark star HD 20,"Hanke, M",2020A&A...635A.104H,Astronomy and Astrophysics
33,2020,2020-03-01 00:00:00+00:00,X-Ray Observations of the Peculiar Cepheid V473 Lyr Identify A Low-mass Companion,"Evans, N",2020AJ....159..121E,The Astronomical Journal
34,2020,2020-03-01 00:00:00+00:00,TESS first look at evolved compact pulsators: Known ZZ Ceti stars of the southern ecliptic hemisphere as seen by TESS,"Bognar, Z",2020arXiv200311481B,arXiv e-prints
35,2020,2020-02-01 00:00:00+00:00,Two intermediate-mass transiting brown dwarfs from the TESS mission,"Carmichael, T",2020arXiv200201943C,arXiv e-prints
36,2020,2020-02-01 00:00:00+00:00,Are inner disc misalignments common? ALMA reveals an isotropic outer disc inclination distribution for young dipper stars,"Ansdell, M",2020MNRAS.492..572A,Monthly Notices of the Royal Astronomical Society
37,2020,2020-02-01 00:00:00+00:00,HD 191939: Three Sub-Neptunes Transiting a Sun-like Star Only 54 pc Away,"Badenas-Agusti, M",2020arXiv200203958B,arXiv e-prints
38,2020,2020-02-01 00:00:00+00:00,Stellar Flares from the First TESS Data Release: Exploring a New Sample of M Dwarfs,"Gunther, M",2020AJ....159...60G,The Astronomical Journal
39,2020,2020-01-01 00:00:00+00:00,The prototype star $\gamma$ Doradus observed by TESS,"Christophe, S",2020arXiv200103497C,arXiv e-prints
40,2020,2020-01-01 00:00:00+00:00,NGTS and WASP photometric recovery of a single-transit candidate from TESS,"Gill, S",2020MNRAS.491.1548G,Monthly Notices of the Royal Astronomical Society
41,2020,2020-01-01 00:00:00+00:00,The First Habitable Zone Earth-sized Planet from TESS. I: Validation of the TOI-700 System,"Gilbert, E",2020arXiv200100952G,arXiv e-prints
42,2020,2020-01-01 00:00:00+00:00,The highly inflated giant planet WASP-174b,"Mancini, L",2020A&A...633A..30M,Astronomy and Astrophysics
43,2019,2019-12-01 00:00:00+00:00,TESS first look at evolved compact pulsators. Asteroseismology of the pulsating helium-atmosphere white dwarf TIC 257459955,"Bell, K",2019A&A...632A..42B,Astronomy and Astrophysics
44,2019,2019-12-01 00:00:00+00:00,Discovery of a new WZ Sagittae-type cataclysmic variable in the Kepler/K2 data,"Ridden-Harper, R",2019MNRAS.490.5551R,Monthly Notices of the Royal Astronomical Society
45,2019,2019-12-01 00:00:00+00:00,KELT-25b and KELT-26b: A Hot Jupiter and a Substellar Companion Transiting Young A-stars Observed by TESS,"Rodriguez Martinez, R",2019arXiv191201017R,arXiv e-prints
46,2019,2019-12-01 00:00:00+00:00,Asteroseismology of the Multiplanet System K2-93,"Lund, M",2019AJ....158..248L,The Astronomical Journal
47,2019,2019-11-01 00:00:00+00:00,"Radial velocity confirmation of K2-100b: a young, highly irradiated, and low-density transiting hot Neptune","Barragan, O",2019MNRAS.490..698B,Monthly Notices of the Royal Astronomical Society
48,2019,2019-11-01 00:00:00+00:00,Four Newborn Planets Transiting the Young Solar Analog V1298 Tau,"David, T",2019ApJ...885L..12D,The Astrophysical Journal
49,2019,2019-11-01 00:00:00+00:00,A Substellar Companion to a Hot Star in K2's Campaign 0 Field,"Dholakia, S",2019PASP..131k4402D,Publications of the Astronomical Society of the Pacific
50,2019,2019-11-01 00:00:00+00:00,Long rotation period main-sequence stars from Kepler SAP light curves,"Cui, K",2019MNRAS.489.5513C,Monthly Notices of the Royal Astronomical Society
51,2019,2019-11-01 00:00:00+00:00,The K2 Bright Star Survey. I. Methodology and Data Release,"Pope, B",2019ApJS..245....8P,The Astrophysical Journal Supplement Series
52,2019,2019-11-01 00:00:00+00:00,"Multi-wavelength variability of the young solar analog ι Horologii. X-ray cycle, star spots, flares, and UV emission","Sanz-Forcada, J",2019A&A...631A..45S,Astronomy and Astrophysics
53,2019,2019-10-01 00:00:00+00:00,"An 11 Earth-mass, Long-period Sub-Neptune Orbiting a Sun-like Star","Mayo, A",2019AJ....158..165M,The Astronomical Journal
54,2019,2019-10-01 00:00:00+00:00,"An Extreme-mass Ratio, Short-period Eclipsing Binary Consisting of a B Dwarf Primary and a Pre-main Sequence M Star Companion Discovered by KELT","Stevens, D",2019arXiv191006212S,arXiv e-prints
55,2019,2019-10-01 00:00:00+00:00,Extended Aperture Photometry of K2 RR Lyrae stars,"Plachy, E",2019ApJS..244...32P,The Astrophysical Journal Supplement Series
56,2019,2019-10-01 00:00:00+00:00,Wōtan: Comprehensive Time-series Detrending in Python,"Hippke, M",2019AJ....158..143H,The Astronomical Journal
57,2019,2019-10-01 00:00:00+00:00,Two New HATNet Hot Jupiters around A Stars and the First Glimpse at the Occurrence Rate of Hot Jupiters from TESS,"Zhou, G",2019AJ....158..141Z,The Astronomical Journal
58,2019,2019-09-01 00:00:00+00:00,eleanor: An Open-source Tool for Extracting Light Curves from the TESS Full-frame Images,"Feinstein, A",2019PASP..131i4502F,Publications of the Astronomical Society of the Pacific
59,2019,2019-09-01 00:00:00+00:00,Six new rapidly oscillating Ap stars in the Kepler long-cadence data using super-Nyquist asteroseismology,"Hey, D",2019MNRAS.488...18H,Monthly Notices of the Royal Astronomical Society
60,2019,2019-09-01 00:00:00+00:00,"K2-146: Discovery of Planet c, Precise Masses from Transit Timing, and Observed Precession","Hamann, A",2019AJ....158..133H,The Astronomical Journal
61,2019,2019-08-01 00:00:00+00:00,Stingray: A Modern Python Library for Spectral Timing,"Huppenkothen, D",2019ApJ...881...39H,The Astrophysical Journal
62,2019,2019-08-01 00:00:00+00:00,A Warm Jupiter-sized Planet Transiting the Pre-main-sequence Star V1298 Tau,"David, T",2019AJ....158...79D,The Astronomical Journal
63,2019,2019-08-01 00:00:00+00:00,Validation of a temperate fourth planet in the K2-133 multiplanet system,"Wells, R",2019MNRAS.487.1865W,Monthly Notices of the Royal Astronomical Society
64,2019,2019-08-01 00:00:00+00:00,Fast-cadence TESS Photometry and Doppler Tomography of the Asynchronous Polar CD Ind: A Revised Accretion Geometry from Newly Proposed Spin and Orbital Periods,"Littlefield, C",2019ApJ...881..141L,The Astrophysical Journal
65,2019,2019-07-01 00:00:00+00:00,"The L 98-59 System: Three Transiting, Terrestrial-size Planets Orbiting a Nearby M Dwarf","Kostov, V",2019AJ....158...32K,The Astronomical Journal
66,2019,2019-07-01 00:00:00+00:00,The Intriguing Polar EU Cancri in the Eyes of Kepler K2,"Hill, K",2019RNAAS...3..103H,Research Notes of the American Astronomical Society
