,year,date,title,author,bibcode,pub,cite_count
0,2024,2024-10-01 00:00:00+00:00,Resolving the pulsation contents of 13 δ Scuti stars with TESS and K2,"Zhou, A",2024NewA..11102235Z,New Astronomy,0
1,2024,2024-08-01 00:00:00+00:00,TOI-2374 b and TOI-3071 b: two metal-rich sub-Saturns well within the Neptunian desert,"Hacker, A",2024MNRAS.532.1612H,Monthly Notices of the Royal Astronomical Society,0
2,2024,2024-08-01 00:00:00+00:00,TESS Giants Transiting Giants. VI. Newly Discovered Hot Jupiters Provide Evidence for Efficient Obliquity Damping after the Main Sequence,"Saunders, N",2024AJ....168...81S,The Astronomical Journal,0
3,2024,2024-08-01 00:00:00+00:00,"Early Results from the HUMDRUM Survey: A Small, Earth-mass Planet Orbits TOI-1450A","Brady, M",2024AJ....168...67B,The Astronomical Journal,0
4,2024,2024-08-01 00:00:00+00:00,TOpI-2447 b / NGTS-29 b: a 69-day Saturn around a Solar analogue,"Gill, S",2024MNRAS.532.1444G,Monthly Notices of the Royal Astronomical Society,0
5,2024,2024-08-01 00:00:00+00:00,Exoplanet Aeronomy: A Case Study of WASP-69 b's Variable Thermosphere,"Levine, W",2024AJ....168...65L,The Astronomical Journal,0
6,2024,2024-08-01 00:00:00+00:00,Evolution of Flare Activity in GKM Stars Younger Than 300 Myr over Five Years of TESS Observations,"Feinstein, A",2024AJ....168...60F,The Astronomical Journal,0
7,2024,2024-08-01 00:00:00+00:00,Singular Spectrum Analysis of Exoplanetary Transits,"Fatheddin, H",2024AJ....168...71F,The Astronomical Journal,0
8,2024,2024-07-01 00:00:00+00:00,The GAPS programme at TNG. LVII. TOI-5076b: A warm sub-Neptune planet orbiting a thin-to-thick-disk transition star in a wide binary system,"Montalto, M",2024A&A...687A.226M,Astronomy and Astrophysics,0
9,2024,2024-07-01 00:00:00+00:00,TOI-4336 A b: A temperate sub-Neptune ripe for atmospheric characterization in a nearby triple M-dwarf system,"Timmermans, M",2024A&A...687A..48T,Astronomy and Astrophysics,0
10,2024,2024-07-01 00:00:00+00:00,Using Asteroseismology to Calibrate the Physical Parameters of Confirmed Exoplanets and Their Evolved Host Stars,"Lin, W",2024AJ....168...27L,The Astronomical Journal,0
11,2024,2024-07-01 00:00:00+00:00,A study of two young multipolar planetary nebulae: Hen 2-73 and Hen 2-96,"Wen, S",2024A&A...687A..99W,Astronomy and Astrophysics,0
12,2024,2024-07-01 00:00:00+00:00,Fundamental effective temperature measurements for eclipsing binary stars - V. The circumbinary planet system EBLM J0608-59,"Maxted, P",2024MNRAS.531.4577M,Monthly Notices of the Royal Astronomical Society,0
13,2024,2024-07-01 00:00:00+00:00,The corona of a fully convective star with a near-polar flare,"Ilin, E",2024A&A...687A.138I,Astronomy and Astrophysics,0
14,2024,2024-07-01 00:00:00+00:00,"Pulsations of Three Rapidly Oscillating Ap Stars TIC 96315731, TIC 72392575, and TIC 318007796","Zhong, H",2024arXiv240716453Z,arXiv e-prints,0
15,2024,2024-07-01 00:00:00+00:00,Photometric White Dwarf Rotation,"Oliveira da Rosa, G",2024arXiv240705214O,arXiv e-prints,0
16,2024,2024-07-01 00:00:00+00:00,TESS Giants Transiting Giants. IV. A Low-density Hot Neptune Orbiting a Red Giant Star,"Grunblatt, S",2024AJ....168....1G,The Astronomical Journal,3
17,2024,2024-07-01 00:00:00+00:00,"Realistic Uncertainties for Fundamental Properties of Asteroseismic Red Giants and the Interplay Between Mixing Length, Metallicity and $\nu_{\rm max}$","Li, Y",2024arXiv240709967L,arXiv e-prints,1
18,2024,2024-07-01 00:00:00+00:00,"Confirmation and Characterization of the Eccentric, Warm Jupiter TIC 393818343 b with a Network of Citizen Scientists","Sgro, L",2024AJ....168...26S,The Astronomical Journal,0
19,2024,2024-07-01 00:00:00+00:00,A Sample of Compact Object Candidates in Single-lined Spectroscopic Binaries from LAMOST Medium-resolution Survey,"Liu, H",2024ApJ...969..114L,The Astrophysical Journal,0
20,2024,2024-07-01 00:00:00+00:00,Two-dimensional simulations of disks in close binaries: Simulating outburst cycles in cataclysmic variables,"Jordan, L",2024arXiv240716610J,arXiv e-prints,0
21,2024,2024-07-01 00:00:00+00:00,TESS observations of non-Be fast rotators,"Naze, Y",2024arXiv240708305N,arXiv e-prints,0
22,2024,2024-07-01 00:00:00+00:00,The phase curve of the ultra-hot Jupiter WASP-167b as seen by TESS,"Kalman, S",2024A&A...687A.144K,Astronomy and Astrophysics,0
23,2024,2024-07-01 00:00:00+00:00,The TROY project III. Exploring co-orbitals around low-mass stars,"Balsalobre-Ruza, O",2024arXiv240704677B,arXiv e-prints,0
24,2024,2024-07-01 00:00:00+00:00,Atmospheric Waves Driving Variability and Cloud Modulation on a Planetary-mass Object,"Plummer, M",2024ApJ...970...62P,The Astrophysical Journal,2
25,2024,2024-07-01 00:00:00+00:00,Signature of High-amplitude Pulsations in Seven δ Sct Stars via TESS Observations,"Vasigh, F",2024ApJ...969...19V,The Astrophysical Journal,0
26,2024,2024-07-01 00:00:00+00:00,HIP 65426 is a High-frequency Delta Scuti Pulsator in Plausible Spin–Orbit Alignment with its Directly Imaged Exoplanet,"Sepulveda, A",2024AJ....168...13S,The Astronomical Journal,0
27,2024,2024-07-01 00:00:00+00:00,Absolute dimensions of solar-type eclipsing binaries. NY Hya: A test for magnetic stellar evolution models,"Hinse, T",2024A&A...687A.116H,Astronomy and Astrophysics,0
28,2024,2024-07-01 00:00:00+00:00,The first catalogue of candidate white dwarf-main sequence binaries in open star clusters: A new window into common envelope evolution,"Grondin, S",2024arXiv240704775G,arXiv e-prints,0
29,2024,2024-07-01 00:00:00+00:00,TESS Investigation -- Demographics of Young Exoplanets (TI-DYE) II: a second giant planet in the 17-Myr system HIP 67522,"Barber, M",2024arXiv240704763B,arXiv e-prints,0
30,2024,2024-07-01 00:00:00+00:00,An infrared census of R Coronae Borealis Stars II -- Spectroscopic classifications and implications for the rate of low-mass white dwarf mergers,"Karambelkar, V",2024arXiv240708653K,arXiv e-prints,0
31,2024,2024-07-01 00:00:00+00:00,Migration and Evolution of giant ExoPlanets (MEEP). I. Nine Newly Confirmed Hot Jupiters from the TESS Mission,"Schulte, J",2024AJ....168...32S,The Astronomical Journal,0
32,2024,2024-07-01 00:00:00+00:00,Stellar Models are Reliable at Low Metallicity: An Asteroseismic Age for the Ancient Very Metal-Poor Star KIC 8144907,"Huber, D",2024arXiv240717566H,arXiv e-prints,0
33,2024,2024-07-01 00:00:00+00:00,The white-light superflares from cool stars in GWAC triggers,"Li, G",2024arXiv240708183L,arXiv e-prints,0
34,2024,2024-07-01 00:00:00+00:00,"The SHERLOCK pipeline: new exoplanet candidates in the WASP-16, HAT-P-27, HAT-P-26, and TOI-2411 systems","Devora-Pajares, M",2024arXiv240714602D,arXiv e-prints,0
35,2024,2024-07-01 00:00:00+00:00,The GAPS Programme at TNG. LVI. Characterisation of the low-density gas giant HAT-P-67 b with GIARPS,"Sicilia, D",2024A&A...687A.143S,Astronomy and Astrophysics,0
36,2024,2024-07-01 00:00:00+00:00,Eight new 2+2 doubly eclipsing quadruple systems detected,"Zasche, P",2024A&A...687A...6Z,Astronomy and Astrophysics,0
37,2024,2024-06-01 00:00:00+00:00,Statistical analysis of asteroseismic indices and stellar parameters of TESS-observed δ Scuti stars,"Lv, C",2024A&A...686A.174L,Astronomy and Astrophysics,0
38,2024,2024-06-01 00:00:00+00:00,Validation of a Third Planet in the LHS 1678 System,"Silverstein, M",2024AJ....167..255S,The Astronomical Journal,0
39,2024,2024-06-01 00:00:00+00:00,HATS-38 b and WASP-139 b join a growing group of eccentric hot Neptunes on polar orbits,"Espinoza-Retamal, J",2024arXiv240618631E,arXiv e-prints,0
40,2024,2024-06-01 00:00:00+00:00,V0405 Dra: A New Deep and Low Mass Ratio Contact Binary with Extremely Fast Decrease in the Orbital Period,"Li, C",2024RAA....24f5023L,Research in Astronomy and Astrophysics,0
41,2024,2024-06-01 00:00:00+00:00,Hot subdwarfs in close binaries observed from space. III. Reflection effect asymmetry induced by relativistic beaming,"Barlow, B",2024A&A...686A.126B,Astronomy and Astrophysics,0
42,2024,2024-06-01 00:00:00+00:00,SDSS1335+0728: The awakening of a $\sim 10^6 M_{\odot}$ black hole,"Sanchez-Saez, P",2024arXiv240611983S,arXiv e-prints,0
43,2024,2024-06-01 00:00:00+00:00,Discovery of a new IW And-type dwarf nova with both tilted disc and tidal instability,"Sun, Y",2024MNRAS.531..422S,Monthly Notices of the Royal Astronomical Society,0
44,2024,2024-06-01 00:00:00+00:00,The $\beta$ Pictoris b Hill sphere transit campaign. Paper II: Searching for the signatures of the $\beta$ Pictoris exoplanets through time delay analysis of the $\delta$ Scuti pulsations,"Zieba, S",2024arXiv240604870Z,arXiv e-prints,0
45,2024,2024-06-01 00:00:00+00:00,The Fundamental Parameters and Evolutionary Status of V454 Aurigae,"Yucel, G",2024PARep...2...18Y,Physics and Astronomy Reports,1
46,2024,2024-06-01 00:00:00+00:00,Amplitude Modulation in a δ Sct star HD 118660,"Sarkar, M",2024BSRSL..93..285S,Bulletin de la Societe Royale des Sciences de Liege,0
47,2024,2024-06-01 00:00:00+00:00,Measuring White Dwarf Variability from Sparsely Sampled Gaia DR3 Multi-epoch Photometry,"Steen, M",2024ApJ...967..166S,The Astrophysical Journal,4
48,2024,2024-06-01 00:00:00+00:00,Rapid multi-band space-based optical timing: revolutionizing accretion physics,"Smith, K",2024FrASS..1101787S,Frontiers in Astronomy and Space Sciences,0
49,2024,2024-06-01 00:00:00+00:00,KIC 4150611: A quadruply eclipsing heptuple star system with a g-mode period-spacing pattern Eclipse modelling of the triple and spectroscopic analysis,"Kemp, A",2024arXiv240604131K,arXiv e-prints,0
50,2024,2024-06-01 00:00:00+00:00,Pulsating hydrogen-deficient white dwarfs and pre-white dwarfs observed with TESS. VI. Asteroseismology of the GW Vir-type central star of the Planetary Nebula NGC 246,"Calcaferro, L",2024A&A...686A.140C,Astronomy and Astrophysics,0
51,2024,2024-06-01 00:00:00+00:00,Photometric Variability of Low Mass Stars and Brown Dwarfs in IC 348 and Taurus Star-Forming Regions,"Ghosh, S",2024BSRSL..93..623G,Bulletin de la Societe Royale des Sciences de Liege,0
52,2024,2024-06-01 00:00:00+00:00,Dynamical mass determination and partial eclipses of the heartbeat star HD 181793,"Uronen, L",2024MNRAS.tmp.1513U,Monthly Notices of the Royal Astronomical Society,0
53,2024,2024-06-01 00:00:00+00:00,Evolution of spin in the intermediate polar CC sculptoris,"Paice, J",2024MNRAS.531L..82P,Monthly Notices of the Royal Astronomical Society,0
54,2024,2024-06-01 00:00:00+00:00,The largest metallicity difference in twin systems: high-precision abundance analysis of the benchmark pair Krios &amp; Kronos,"Miquelarena, P",2024arXiv240606705M,arXiv e-prints,0
55,2024,2024-06-01 00:00:00+00:00,Burst-induced spin variations in the accreting magnetic white dwarf PBC J0801.2-4625,"Irving, Z",2024MNRAS.530.3974I,Monthly Notices of the Royal Astronomical Society,0
